date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2016-05-18,7886.25,7711.96,7886.5,7614.2,96022203.0,134288838656.0,3.42,-3.13,-249.54,0.97
2016-05-19,7707.33,7767.32,7868.72,7707.33,85485601.0,125878845440.0,2.09,0.72,55.36,0.86
2016-05-20,7699.07,7860.13,7860.13,7665.86,85485430.0,124119515136.0,2.5,1.19,92.81,0.86
2016-05-23,7876.12,7995.58,7995.99,7876.12,95304781.0,142334099456.0,1.53,1.72,135.45,0.96
2016-05-24,7981.01,7913.68,7981.22,7852.69,86831644.0,127017488384.0,1.61,-1.02,-81.9,0.87
2016-05-25,7965.75,7889.73,8012.16,7848.53,84806899.0,126679609344.0,2.07,-0.3,-23.95,0.85
2016-05-26,7864.03,7929.47,7929.67,7703.52,93572769.0,133875597312.0,2.87,0.5,39.74,0.94
2016-05-27,7904.77,7912.86,7976.51,7879.64,84973824.0,125133471744.0,1.22,-0.21,-16.61,0.85
2016-05-30,7863.31,7867.6,7946.13,7787.47,75242813.0,106700345344.0,2.01,-0.57,-45.26,0.76
2016-05-31,7872.31,8197.56,8197.64,7872.31,137392338.0,194238574592.0,4.14,4.19,329.96,1.38
2016-06-01,8207.25,8270.52,8324.09,8202.72,144266880.0,215119392768.0,1.48,0.89,72.96,1.45
2016-06-02,8261.6,8369.43,8369.67,8255.96,133157988.0,194489851904.0,1.37,1.2,98.91,1.34
2016-06-03,8370.79,8391.76,8442.9,8336.96,140387635.0,212065624064.0,1.27,0.27,22.33,1.41
2016-06-06,8418.34,8422.47,8443.57,8359.02,117501279.0,178624008192.0,1.01,0.37,30.71,1.18
2016-06-07,8421.61,8434.67,8439.14,8363.41,110744225.0,169727803392.0,0.9,0.14,12.2,1.11
2016-06-08,8417.75,8431.89,8481.65,8340.9,114686484.0,182132625408.0,1.67,-0.03,-2.78,1.15
2016-06-13,8307.19,8000.82,8387.42,8000.65,137074808.0,216696631296.0,4.59,-5.11,-431.07,1.38
2016-06-14,7957.93,8038.59,8053.54,7931.23,96775235.0,148221124608.0,1.53,0.47,37.77,0.97
2016-06-15,7948.18,8340.54,8369.94,7936.62,135462802.0,209026228224.0,5.39,3.76,301.95,1.36
2016-06-16,8339.82,8358.03,8421.33,8314.98,144450017.0,229588025344.0,1.28,0.21,17.49,1.45
2016-06-17,8374.07,8414.51,8480.65,8338.73,141419118.0,216321683456.0,1.7,0.68,56.48,1.42
2016-06-20,8417.36,8457.93,8476.47,8330.67,120792727.0,189191593984.0,1.73,0.52,43.42,1.21
2016-06-21,8510.75,8350.76,8552.66,8305.55,135449441.0,212730466304.0,2.92,-1.27,-107.17,1.36
2016-06-22,8323.88,8513.54,8513.93,8316.1,117220449.0,183497555968.0,2.37,1.95,162.78,1.18
2016-06-23,8510.84,8495.78,8547.39,8424.91,132779328.0,206445764608.0,1.44,-0.21,-17.76,1.33
2016-06-24,8477.03,8428.82,8547.68,8153.16,162435643.0,244438163456.0,4.64,-0.79,-66.96,1.63
2016-06-27,8360.52,8646.16,8646.37,8358.34,139794184.0,220034056192.0,3.42,2.58,217.34,1.41
2016-06-28,8616.07,8730.2,8737.82,8599.85,158998676.0,247242862592.0,1.6,0.97,84.04,1.6
2016-06-29,8758.7,8745.82,8784.95,8704.35,153125294.0,231682359296.0,0.92,0.18,15.62,1.54
2016-06-30,8753.85,8741.1,8776.24,8692.26,134709875.0,208903512064.0,0.96,-0.05,-4.72,1.35
2016-07-01,8747.79,8710.52,8779.63,8680.08,121163474.0,187653640192.0,1.14,-0.35,-30.58,1.22
2016-07-04,8661.27,8874.07,8882.85,8653.86,145919711.0,217310724096.0,2.63,1.88,163.55,1.47
2016-07-05,8886.51,8914.84,8925.09,8839.94,158076818.0,240570273792.0,0.96,0.46,40.77,1.59
2016-07-06,8885.33,8947.14,8957.58,8862.76,145409659.0,218862141440.0,1.06,0.36,32.3,1.46
2016-07-07,8942.99,8954.28,8988.32,8851.3,167293292.0,256984834048.0,1.53,0.08,7.14,1.68
2016-07-08,8941.49,8939.26,8996.97,8904.59,133166211.0,209452220416.0,1.03,-0.17,-15.02,1.34
2016-07-11,8953.87,8875.0,9004.75,8865.59,145652841.0,226031386624.0,1.56,-0.72,-64.26,1.46
2016-07-12,8862.37,8943.07,8943.15,8719.88,151324255.0,224366456832.0,2.52,0.77,68.07,1.52
2016-07-13,8963.44,9023.24,9042.07,8926.76,153686180.0,224100343808.0,1.29,0.9,80.17,1.54
2016-07-14,9011.39,9042.76,9044.02,8976.52,131381189.0,196195471360.0,0.75,0.22,19.52,1.32
2016-07-15,9039.88,8982.89,9048.35,8952.61,123145605.0,185198325760.0,1.06,-0.66,-59.87,1.24
2016-07-18,8962.96,8937.86,8990.29,8881.5,119175004.0,177542909952.0,1.21,-0.5,-45.03,1.2
2016-07-19,8928.64,8996.83,8996.96,8883.77,111464507.0,165460365312.0,1.27,0.66,58.97,1.12
2016-07-20,8999.11,8997.89,9044.37,8976.0,113691763.0,173424017408.0,0.76,0.01,1.06,1.14
